56,0,0,red
0,0,0,red
96,248,248,red
152,0,112,red
216,48,0,red
184,248,224,red
0,0,96,red
176,0,248,red
248,248,248,red
176,200,152,red
136,232,128,red
176,224,152,red
0,0,0,red
0,0,0,red
0,0,0,red
0,184,0,red
112,0,0,red
144,216,184,red
0,248,0,yellow
0,0,0,yellow
136,0,0,yellow
0,0,0,yellow
0,0,0,yellow
0,160,0,yellow
208,0,0,yellow
232,248,240,yellow
224,200,0,yellow
200,152,0,yellow
232,232,0,yellow
80,0,0,yellow
0,0,0,yellow
120,120,0,yellow
56,56,0,yellow
232,232,0,yellow
0,0,0,yellow
240,144,0,white
144,240,0,white
248,240,128,white
248,168,144,white
248,240,0,white
144,144,0,white
232,216,144,white
248,200,0,white
144,120,0,white
160,136,112,white
184,160,0,white
232,248,192,white
208,216,208,white
0,0,0,white
72,120,248,black
72,128,248,black
56,104,192,black
56,104,232,black
48,96,208,black
56,88,216,black
48,96,208,black
72,128,248,black
72,120,248,black
48,96,208,black
56,88,216,black
56,104,192,black
0,8,0,black
24,24,24,black
16,16,16,black
32,32,32,black
16,16,16,black
0,0,40,blue
0,168,0,blue
0,232,224,blue
0,176,168,blue
0,160,232,blue
0,160,232,blue
0,232,224,blue
0,192,232,blue
0,168,0,blue
0,48,48,blue
0,168,184,blue
0,0,96,blue
232,176,200,blue
0,0,0,blue
0,184,232,blue
0,0,0,blue
